,Giá tiền,Mã sản phẩm,Nhãn hiệu,Nguồn gốc,Kiểu máy,Kích cỡ,Chất liệu vỏ,Chất liệu dây,Chất liệu kính,Độ chịu nước,Chức năng khác,Bảo hiểm,Bảo hành quốc tế,Giới tính
1866,76.230.000,FC-206MPWD1SD6B,Frederique Constant,Thụy Sỹ,Quartz (Máy pin),30 mm,Thép không gỉ 316L,Thép không gỉ,Kính Sapphire,30M,"Mặt số xà cừ, đính 76 viên kim cương, lịch trăng sao",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1867,11.300.000,PC1003-15L,,Nhật Bản,Automatic,34 mm,Thép - PVD vàng hồng,,Kính Sapphire,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1868,5.380.000,SXDH02P1,Seiko,Nhật Bản,Quartz (Máy Pin),28.7 mm,Thép không gỉ,Thép không gỉ,Kính cứng,100 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1869,1.800.000,SL1601.1202TE,SRWatch,Nhật Bản,Quartz,28mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L / Mạ vàng PVD,Kính Sapphire,30m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1870,2.810.000,EZ6157-02F,Citizen,Nhật Bản,Quartz,,Thép không gỉ 316L/Mạ PVD,Dây da,Kính cứng,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1871,20.840.000,RE-AV0002S00B,Orient,Nhật Bản,Automatic,41 mm,Thép không gỉ,Dây da,Kính Cứng,50M,"Lên cót bằng tay, hacking stop, kim đo năng lượng",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1872,12.570.000,SRKZ58P2,Seiko,Nhật Bản,Quartz,31.5 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1873,5.890.000,OP89322ADK-T,Olym Pianus,Nhật Bản,Automatic,36 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1874,5.300.000,AW5005-21Y,Citizen,Nhật Bản,Eco-drive,"42,6mm",Thép - PVD Ion đen,Dây dù,Kính cứng chịu lực,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
1875,3.600.000,BI1054-55A,Citizen,Nhật Bản,Quartz,40 mm - dày 12mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Cứng,30 m,lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1876,9.785.000,AR3073-06E,Citizen,Nhật Bản,Eco-drive,39mm,Thép - PVD vàng hồng,Dây da,Kính Sapphire,Water Resistant,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
1877,3.410.000,OPA580501-03MS-GL-D,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),39mm,Thép không gỉ,Dây da,Kính Sapphire,30M,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1878,15.640.000,WZ0081DA,Orient,Nhật Bản,Automatic,39mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,100m,"Openheart, Thang đo năng lượng",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1879,3.220.000,OPA58052MS-T,Olympia Star,Thụy Sỹ,Quartz,38mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1880,7.930.000,SUN069P1,Seiko,Nhật Bản,Kinetic,43 mm,Thép,Thép,Kính cứng,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1881,3.890.000,OPA28006DLS-D,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),"22.526,5mm",Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1882,8.420.000,OG1930MSR-T,Ogival,Thụy Sỹ,Quartz,40mm,Thép không gỉ/Mạ PVD,Thép không gỉ/Mạ PVD,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1883,7.810.000,OP990-45ADGSR-D,Olym Pianus,Nhật Bản,Automatic (Máy cơ),42mm,Thép không gỉ 316L/Mạ màu PVD,Thép không gỉ,Kính Sapphire,50M,"Lịch ngày, lịch thứ, đính đá",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1884,5.050.000,OPA58012-04DMS-D,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),38 mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
1885,2.670.000,F.1.1076.09,Freelook,Pháp,Quartz (Pin),34mm,Thép không gỉ,Thép không gỉ,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1886,5.950.000,AW1577-11H,Citizen,Nhật Bản,Eco-drive,41mm,Thép - PVD Ion đen,Da,Kính cứng chịu lực,100,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
1887,10.000.000,MK5872,,Hoa Kỳ,Quartz,42 mm,Thép không gỉ,Thép không gỉ,Kính Cứng,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1888,6.485.000,AN3605-55X,,Nhật Bản,Quartz,44 mm,Thép - PVD Idon đen,,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1889,4.085.000,BI5100-58A,Citizen,Nhật Bản,Máy Quartz (Máy Pin),41mm,Thép không gỉ,Thép không gỉ,Kính cứng,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1890,5.600.000,AU1080-20A,Citizen,Nhật Bản,Eco-Drive,40 mm,Thép không gỉ 316L,Dây Vải,Kính Sapphire,30 m,Lịch Ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1891,8.230.000,OP9908-88AGS-T,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30m,"Lên cót tay, dừng kim giây, đồng hồ trữ cót",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1892,9.285.000,NH9130-84A,Citizen,Nhật Bản,Automatic (Máy cơ),40 mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50m,Openheart,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1893,5.890.000,OP990-389AMR-GL-T,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ 316L/Mạ vàng hồng PVD,Dây da,Kính Sapphire,50m,"Open heart, Moon phase",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1894,2.380.000,OPA58035MS-GL-T,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),39mm,Thép không gỉ 316L,Dây da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1895,2.970.000,F16235/H,,Tây Ban Nha,Quartz,"36,00 x 36,50 mm",Thép không gỉ 316L,Dây da,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1896,16.630.000,SRPD36J1,Seiko,Nhật Bản,Automatic,40.5 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính cứng,50M,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1897,3.550.000,FER27005W0,Orient,Nhật Bản,Automatic,41mm,Thép Không Gỉ,Dây Da,Mineral Crystal (Kính Cứng),50m,Lịch Ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1898,10.800.000,NJ0090-13P,Citizen,Nhật Bản,Automatic,42mm,Titanium,Dây da,Kính Sapphire,Water Resistant,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
1899,9.360.000,BJ7010-59E,Citizen,Nhật Bản,Eco-Drive,42mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,200m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1900,9.240.000,CA4034-50A,Citizen,Nhật Bản,Eco-Drive,44 mm,Thép Không gỉ 316L,Thép Không gỉ 316L,Kính cứng,100 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1901,12.040.000,SKA873P1,Seiko,Nhật Bản,Kinetic,40 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng,100 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1902,2.830.000,F.3.1040.06,Freelook,Pháp,Quartz (Pin),34mm,Thép không gỉ,Thép không gỉ,Kính Cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1903,2.430.000,F.4.1054.05,Freelook,Pháp,Quartz (Pin),34mm,Thép không gỉ,Thép không gỉ,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1904,13.420.000,SRPD39J1,Seiko,Nhật Bản,Automatic,41.7 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cong Sapphire,30M,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1905,10.480.000,SET0T002S0,Orient,Nhật Bản,Automatic,42.5 mm,Thép không gỉ,Dây da,Kính Sapphire,50 m,"Lịch ngày, lịch thứ , đồng hồ Sun and Moon",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1906,3.790.000,OPA58082LK-GL-T,Olympia Star,Thụy Sỹ,Quartz,28 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1907,3.270.000,FUX00007W0,Orient,Nhật Bản,Quartz,42 mm,Thép không gỉ 316L,Dây da,Kính Cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1908,4.420.000,OPA58082-04MSK-T,Olympia Star,Thụy Sĩ,Swiss quartz (Pin),38mm,Thép không gỉ 316L / Mạ PVD,Thép không gỉ 316L / Mạ PVD,Kính Sapphire,30 M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1909,5.320.000,OP990-083AMSK-V,Olym Pianus,Nhật Bản,Automatic,40 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1910,3.600.000,BD0043-83P,Citizen,Nhật Bản,Quartz,39mm,"Thép không gỉ, Mạ vàng PVD","Thép không gỉ, Mạ vàng PVD",Kính cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1911,10.450.000,OG385-032DLSK-T,Ogival,Thụy Sĩ,Quartz,26.5 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1912,3.080.000,SUNE5005W0,Orient,Nhật Bản,Quartz,41 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,100 m,"Lịch ngày, dạ quang",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1913,3.285.000,BI1050-56L,Citizen,Nhật Bản,Quartz,Đường kính 40mm,Thép Không Gỉ 316L,Thép Không Gỉ 316L,Mineral Glass (Kính cứng),50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1914,6.940.000,SRPD55K2,Seiko,Nhật Bản,Automatic,42.5 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính cứng,100 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1915,8.560.000,PD7151-51A,Citizen,Nhật Bản,Automatic,29 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1916,10.550.000,SRP841J1,Seiko,Nhật Bản,Automatic,34 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,50M,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1917,1.820.000,F.4.1044.01,Freelook,Pháp,Quartz (Pin),29mm,Thép không gỉ 316L,Thép không gỉ,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1918,6.630.000,SSB342P1,Seiko,Nhật Bản,Quartz,43.3 mm,Thép không gỉ 316L/Mạ vàng PVD,Dây da,Kính cứng,100 m,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1919,18.250.000,OG3359AJMS-T,Ogival,Thụy Sỹ,Automatic,40mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1920,2.720.000,SYMK25K1S,Seiko,Nhật Bản,Automatic,26mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,30 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1921,2.250.000,F.1.1131.02,Freelook,Pháp,Quartz (Pin),34mm,Thép không gỉ 316L,Dây kim loại,Kính Cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1922,9.500.000,RA-AC0008S10B,Orient,Nhật Bản,Automatic (Máy cơ),36.4 mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1923,6.250.000,SG60062.4103SM,SRWatch,Nhật Bản,Japan Quartz (Máy pin),40mm,Thép không gỉ,Dây da,Kính Sapphire,50m,"Lịch ngày, lịch thứ, Moon Phase",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1924,6.975.000,NH7490-55E,Citizen,Nhật Bản,Automatic,42mm,Thép không gỉ 316L,Thép không gỉ 316L,Mặt kính cứng,100m,"Lịch ngày, lịch thứ.",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1925,10.810.000,NJ0070-53E,Citizen,Nhật Bản,Automatic,"43,5mm",Thép không gỉ,Thép không gỉ,Kính Sapphire,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
1926,3.550.000,OPA58062-07LS-D,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),26mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1927,22.240.000,OG30328MS-X,Ogival,Thụy Sỹ,Automatic,37mm,Thép không gỉ/Mạ PVD,Thép không gỉ/Mạ PVD,Kính Sapphire,50M,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1928,9.138.000,SSA255J1,Seiko,Nhật Bản,Automatic,41 mm,Thép không gỉ/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính Sapphire,100 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1929,6.410.000,AN3490-55L,Citizen,Nhật Bản,Quartz,43mm,Thép không gỉ/ mạ PVD,Thép không gỉ/ mạ PVD,Kính cứng,100m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1930,4.680.000,SGEH89P1,Seiko,Nhật Bản,Quartz,40.6 mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,100 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1931,8.050.000,SG18181.1401STAR,SRWatch,Nhật Bản,Japan Automatic Movement (Máy Cơ),40mm,Thép không gỉ/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1932,7.980.000,SSC647P1,Seiko,Nhật Bản,Solar,"42,8 mm",Thép,Thép,Kính Sapphire,100M,Bấm giờ,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1933,6.720.000,NH7490-55L,Citizen,Nhật Bản,Automatic,42.5 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng,100 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1934,3.410.000,F20205/4,,Tây Ban Nha,Quartz,41 mm,Thép không gỉ 316L,Dây da,Kính Cứng,50M,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1935,6.185.000,AN3616-75L,Citizen,Nhật Bản,Pin (Quartz),41 mm,Thép không gỉ,Thép không gỉ,Kính Cứng,50m,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1936,5.940.000,BM7320-52L,Citizen,Nhật Bản,Eco-Drive,42 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,100 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1937,10.260.000,SSA862K1,Seiko,Nhật Bản,Automatic,33 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1938,3.410.000,OPA58012-07LK-GL-V,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),26mm,Thép không gỉ/Mạ vàng PVD,Dây da,Sapphire,30m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1939,6.570.000,SRPG27K1S,Seiko,Nhật Bản,Automatic,39.4 mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,100 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1940,6.790.000,FAL00004W0,Orient,Nhật Bản,Automatic,43mm,Thép không rỉ 316L/Mạ PVD,Dây da,Kính cứng,50 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1941,6.080.000,FTV02004W0,Orient,Nhật Bản,Quartz,45 mm,Thép không gỉ 316L,Dây Da,Kính Cứng,50 m,Lịch Ngày.,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1942,4.000.000,FGW0100JW0,Orient,Nhật Bản,Quartz,38 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1943,2.650.000,SL5006.4302BL,SRWatch,Nhật Bản,Quartz,34mm,Thép không gỉ 316L,Dây da,Kính Sapphire,50m,"Lịch ngày, đính đá",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1944,3.760.000,OP5695MSK-T,Olym Pianus,Nhật Bản,Quartz,38 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1945,12.784.000,SRPF43J1,Seiko,Nhật Bản,Automatic,38.5 mm,Thép không gỉ 316L,Dây da,Hardlex Crystal,50 m,"Lịch ngày, Caliber 4R35, 23 chân kính, trữ cót 41h, phiên bản giới hạn 7000 chiếc",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1946,9.190.000,AT2150-51E,Citizen,Nhật Bản,Eco - Drive,45mm,Thép không gỉ,Thép không gỉ,Kính cứng chịu lực,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
1947,8.785.000,EM0530-81D,Citizen,Nhật Bản,Eco-drive,"28,7mm",Thép không gỉ,Thép không gỉ,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
1948,1.740.000,FL.2.10146.1,Freelook,Pháp,Quartz (Pin),34mm,Thép không gỉ 316L,Dây da,Kính Cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1949,3.410.000,OP2481LS-D,Olym Pianus,Nhật Bản,Quartz,30mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1950,7.000.000,EW2533-89D,Citizen,Nhật Bản,Eco-Drive,30 mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính cứng,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1951,7.300.000,BU4005-56H,Citizen,Nhật Bản,Eco-Drive,"42,5mm",Thép - PVD Ion đen,Thép - PVD Ion đen,Kính cứng chịu lực,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
1952,10.440.000,SET0T003T0,Orient,Nhật Bản,Automatic,42.5 mm,Thép không gỉ 316L,Dây da,Kính Sapphire,50 m,"Lịch mặt trời, mặt trăng",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1953,1.680.000,FL.1.10142.5,,Pháp,Quartz (Pin),32 mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính Cứng,50m,Đính đá,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1954,5.030.000,BM6752-02A,Citizen,Nhật Bản,Eco-Drive,40 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính cứng,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1955,6.760.000,MK3190,,Hoa Kỳ,Quartz,39 mm,Thép không gỉ,Thép không gỉ,Kính Cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1956,2.970.000,F16235/G,,Tây Ban Nha,Quartz,"36,00 / 36,50 mm",Thép không gỉ 316L,Dây da,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1957,5.650.000,AW1570-87H,Citizen,Nhật Bản,Eco-Drive,41 mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,100m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1958,5.040.000,FDBAD005W0,Orient,Nhật Bản,Automatic,35.5 x 45.5 mm,Thép không gỉ 316L,Da,Kính cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1959,25.660.000,FC-200MPW2AC6B,Frederique Constant,Thụy Sỹ,Quartz,28 x 21mm,Thép không gỉ 316L,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
1960,7.200.000,SRW825P1,Seiko,Nhật Bản,Quartz,34 mm,Thép,Thép,Kính Sapphire,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1961,7.530.000,SER1T001W0,Orient,Nhật Bản,Automatic,40 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1962,3.660.000,SUP881P1,Seiko,Nhật Bản,Solar  ( pin năng lượng ánh sáng ),28 mm,Thép không gỉ 316L,Dây da,Kính khoáng ( Mineral Glass ),50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1963,4.160.000,FGW0100AW0,Orient,Nhật Bản,Quartz,38 mm,Thép không gỉ,Da,Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1964,3.450.000,SKS605P1,Seiko,Nhật Bản,Quartz,43 mm,Thép,Thép,Kính cứng,100M,Bấm giờ,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1965,3.990.000,F16872/2,,Tây Ban Nha,Quartz,42 mm,Thép không gỉ 316L,,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1966,3.250.000,ER0203-00A,Citizen,Nhật Bản,Quartz,26mm,Thép không gỉ 316L,Dây da,Mặt kính cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1967,13.100.000,EO1150-59W,Citizen,Nhật Bản,Eco-drive,"33,5mm",Thép không gỉ,Thép không gỉ /,Kính Sapphire,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
1968,5.600.000,AU1065-07E,Citizen,Nhật Bản,Eco-Drive,40 mm,Thép không gỉ 316L,Dây da,Kính Cứng,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1969,4.750.000,OP990-08AMSK-T,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ/Mạ PVD,Thép không gỉ/Mạ PVD,Kính Sapphire,30 M,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1970,28.740.000,OG829-65AGS-T,Ogival,Thụy Sỹ,Automatic,40mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
1971,3.730.000,AG8351-86A,Citizen,Nhật Bản,Quartz,39mm,Thép không gỉ 316L,Thép không gỉ 316L,Mặt kính cứng,50m,"Lịch ngày, Lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
1972,9.077.000,NH8395-00E,Citizen,Nhật Bản,Automatic,40.2 mm,Thép không gỉ,Dây da,Kính cứng,50M,"Lịch ngày, lịch thứ, lên cót tay",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1973,10.800.000,RA-AG0726S00B,Orient,Nhật Bản,Automatic,35.9 mm,Thép không gỉ 316L/Mạ vàng PVD,Dây da,Kính cứng,30m,"F6T22 – Hỗ trợ dừng kim giây, lên cót tay",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1974,9.600.000,97M115,Bulova,Hoa Kỳ,Quartz,36 mm,Thép không gỉ - Mạ PVD,Thép không gỉ - Mạ PVD,Kính cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nữ
1975,11.300.000,SRW836P1,Seiko,Nhật Bản,Quartz,35 mm,Thép - PVD vàng,Thép - PVD vàng,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1976,7.660.000,SRPD81K1,Seiko,Nhật Bản,Automatic,42.5 mm,Thép không gỉ 316L/Mạ PVD,Dây vải,Kính cứng,100 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1977,7.200.000,SRW827P1,Seiko,Nhật Bản,Quartz,34 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ,Kính Sapphire chống lóa,100 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
1978,6.950.000,MK2756,,Hoa Kỳ,Quartz,33 mm,Thép không gỉ,Dây da,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
1979,6.060.000,RA-AA0C04B19B,Orient,Nhật Bản,Automatic,42mm,Thép không gỉ 316L,Dây da,Kính cứng,50m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
1980,14.500.000,98B335,Bulova,Hoa Kỳ,Quartz (Pin),44 mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,30m,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,3 năm,Nam
1981,2.850.000,SL5006.4702BL,SRWatch,Nhật Bản,Quartz,34mm,Thép không gỉ 316L / Mạ vàng PVD,Dây da,Kính Sapphire,50m,"Lịch ngày, đính đá",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
