,Thương hiệu,Giá tiền,Mã sản phẩm,giới tính,kiểu dáng,loại máy,phong cách,mặt kính,đường kính,chất liệu vỏ,độ dày,chất liệu dây,độ chịu nước,tính năng khác,bảo hành chính hãng,màu mặt,xuất xứ thương hiệu,bảo hành duy anh
1540,ORIENT,4.233.000,FTT0V004Y0,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao sang trọng,Mặt kính cứng,42mm,Thép không gỉ 316L,"10,8mm",Dây da,50m,Lịch ngày,1 năm quốc tế,Vàng,Nhật Bản,Thay pin miễn phí trọn đời
1541,TISSOT,18.675.000,T038.430.22.037.00,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,38.5mm,Thép không gỉ mạ vàng công nghệ PVD,9.8mm,Thép không gỉ 316L mạ vàng công nghệ PVD,50 m,"Lịch ngày, lịch thứ.",2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1542,LONGINES,31.050.000,L4.766.4.11.2,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,37mm,Thép không gỉ 316L,,Dây da,30m,,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1543,CITIZEN,2.856.000,AO3010-05E,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Thể thao,Mặt kính cứng,42mm,Thép không gỉ 316L,,Dây da,50m,,1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1544,ORIENT,4.156.500,FUNG7001W0,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,32mm,Thép không gỉ 316L,,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,Lịch ngày.,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1545,LONGINES,17.622.000,L4.220.2.12.2,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,24.5mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,30m,Lịch ngày.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1546,CITIZEN,3.264.000,EZ6330-51E,Nữ,Mặt vuông,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,30mm x 15mm,Thép không gỉ 316L,,Thép không gỉ 316L,30 m,,1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1547,OLYM PIANUS,3.987.000,VUÔNG,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,35mm,Thép không gỉ mạ vàng công nghệ PVD,,Titanium mạ vàng công nghệ PVD,30m,Lịch ngày.,2 năm quốc tế,Vàng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
1548,CALVIN KLEIN,3.600.000,K8M21126,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,40mm,Thép không gỉ 316L,7mm,Thép không gỉ 316L,30m,,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1549,TISSOT,11.025.000,T122.210.36.033.00,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,30mm,Thép không gỉ mạ vàng công nghệ PVD,6.7mm,Dây da,50m,Lịch ngày.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1550,CALVIN KLEIN,7.415.000,K5S34B46,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thời trang,Sapphire,41mm,Thép không gỉ 316L,,Thép không gỉ 316L,50m,Lịch ngày.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1551,HAMILTON,10.285.000,H69439901,Nam,Mặt tròn,Đồng hồ cơ lên giây cót bằng tay ( Manual winding ),Quân đội,Sapphire,38mm,Thép không gỉ 316L,9.7mm,Dây dù,50m,"Caliber H-50, trữ cót 80h.",2 năm quốc tế,Nâu,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1552,MIDO,23.922.000,M8608.4.10.1,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,38mm,Thép không gỉ 316L,,Thép không gỉ 316L,50m,Lịch ngày.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1553,TISSOT,8.190.000,T129.410.11.013.00,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Sapphire,42mm,Thép không gỉ 316L,8.1mm,Thép không gỉ 316L,50m,Lịch ngày. Caliber ETA F06.115,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1554,CITIZEN,6.205.000,FE6100-59A,Nữ,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Mặt kính cứng,36.6mm,Thép không gỉ 316L,9.4mm,Thép không gỉ 316L,50m,ECO-DRIVE hấp thụ năng lượng từ ánh sáng. Lịch ngày,1 năm quốc tế,Trắng,Nhật Bản,
1555,ORIENT,4.921.500,RA-KV0006Y10B,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao,Mặt kính cứng,42mm,Thép không gỉ 316L,11mm,Dây da,100m,Lịch ngày. Đồng hồ 24h.,1 năm quốc tế,Nâu,Nhật Bản,Thay pin miễn phí trọn đời
1556,LONGINES,42.693.300,L4.755.1.57.7,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,36mm,Thép không gỉ mạ vàng công nghệ PVD,5.2,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,Mặt số đính 12 viên kim cương tổng 0.081 carat.,2 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1557,CHARRIOL,20.901.500,AE33CW.561.004,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,33mm,Thép không gỉ 316L/ Ceramic,,Thép không gỉ 316L,30m,Lịch ngày. Có 01 sợi cáp xoắn nhỏ bao qoanh vỏ đồng hồ.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1558,SEIKO,7.256.700,SSC117P1,Nam,Mặt tròn,Quartz Solar (Năng lượng ánh sáng),Thể thao,Mặt kính cứng,42mm x 42mm.,Thép không gỉ 316L,,Thép không gỉ 316L,100m,Lịch ngày.,1 năm quốc tế,Đen,Nhật Bản,
1559,TISSOT,17.325.000,T085.407.26.013.00,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40mm - 39.2mm,Thép không gỉ mạ vàng công nghệ PVD,9.6mm,Dây da,30m,Lịch ngày. Powermatic 80 dự trữ năng lượng lên đến 80 giờ.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1560,OLYM PIANUS,2.223.000,OP130-07MK-GL-N,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Sapphire,38mm,Thép không gỉ mạ vàng công nghệ PVD,7.5mm,Dây da,30m,Lịch ngày,2 năm quốc tế,Nâu,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1561,OLYM PIANUS,7.398.000,OP9908-88AGK-T,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,40mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L,30m,Kim báo năng lượng,2 năm quốc tế,Trắng,Thụy Sỹ,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
1562,CITIZEN,4.547.500,NH8305-02A,Nam,Mặt vuông,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,,Thủy Tinh,,Vàng 18K,,,,Hồng,,
1563,FREELOOK,2.547.000,F.8.1069.05,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,30mm,Thép không gỉ mạ vàng công nghệ PVD,7mm,Thép không gỉ mạ công nghệ PVD,30m,,2 năm,Xanh lam,Pháp,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1564,CITIZEN,6.630.000,BM9010-59A,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Sapphire,37mm,Thép không gỉ 316L,7.9mm,Thép không gỉ 316L,30m,Eco-Drive hấp thụ năng lượng từ ánh sáng.,1 năm quốc tế,Trắng,Nhật Bản,
1565,CITIZEN,23.026.500,EM0328-57P,Nữ,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Sapphire,30mm,Thép không gỉ mạ vàng công nghệ PVD,7mm,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,"Mặt khảm trai, Vỏ đính 3 viên kim cương. ECO-DRIVE hấp thụ năng lượng từ ánh sáng.",1 năm quốc tế,Trắng,Nhật Bản,
1566,CITIZEN,9.996.000,NY0091-83E,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Mặt kính cứng,42mm,Thép không gỉ 316L,,Thép không gỉ 316L,200m,"Lịch thứ, lịch ngày",1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
1567,MIDO,43.875.000,M026.608.11.051.00,Nam,Mặt tròn,Automatic Chronometer (Máy cơ tự động chuẩn COSC),Thể thao sang trọng,Sapphire,43.5mm,Thép không gỉ 316L,14.6mm,Thép không gỉ 316L,600m,"Lịch ngày. Mido Caliber 80 COSC, 25 chân kính, trữ cót 80h. Sapphire chống lóa.",5 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1568,TISSOT,13.230.000,T063.617.36.037.00,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao sang trọng,Sapphire,42mm,Thép không gỉ mạ vàng công nghệ PVD,11.07mm,Dây da,30m,Lịch ngày.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời
1569,ORIENT,4.947.000,FETAC002W0,Nam,Mặt vuông,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,35.7mm x 44mm,Thép không gỉ 316L,,Thép không gỉ 316L,50m,"Lịch ngày, lịch thứ. Đồng hồ 24h.",1 năm quốc tế,Trắng,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
1570,SEIKO,6.282.000,SRPD57K1,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Hardlex Crystal,42.5mm,Thép không gỉ 316L,13.4mm,Thép không gỉ 316L,100m,"Lịch ngày, lịch thứ. Caliber 4R36, 24 chân kính, trữ cót 41h.",1 năm quốc tế,Đen,Nhật Bản,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
1571,FREDERIQUE CONSTANT,53.745.500,FC-303V4NH2B,Nam,Mặt tròn,Automatic Chronometer (Máy cơ tự động chuẩn COSC),Sang trọng,Sapphire,41mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,"Lịch ngày. Caliber FC-303, 26 chân kính, 28.800vph, trữ cót 38h. Sapphire chống lóa.",2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1572,LONGINES,56.925.000,L3.811.4.53.0,Nam,Mặt tròn,Automatic Chronometer (Máy cơ tự động chuẩn COSC),Thể thao sang trọng,Sapphire,42mm,Thép không gỉ 316L,12.2mm,Dây da,100m,"Lịch ngày. Caliber L888.4, 25.200vph, trữ cót 64h.",5 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
1573,SEIKO,2.619.000,SNKM43K1,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,38mm x 38mm,Thép không gỉ 316L,,Thép không gỉ 316L,50m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Xanh lam,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
1574,CALVIN KLEIN,3.960.000,25200002,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,38mm,Thép không gỉ mạ vàng công nghệ PVD,7.5mm,Thép không gỉ 316L dạng lưới,30m,,2 năm quốc tế,Hồng,Mỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1575,CITIZEN,2.898.500,EJ6083-59E,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,25mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,,1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1576,TISSOT,19.845.000,T072.207.11.128.00,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Thời trang,Sapphire,34mm,Thép không gỉ 316L,9.3mm,Thép không gỉ 316L,50m,Lịch ngày. POWERMATIC 80.,2 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1577,TISSOT,22.050.000,T126.207.22.013.00,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Thời trang,Sapphire,29mm,Thép không gỉ mạ vàng công nghệ PVD,9.6mm,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,"Lịch ngày. Caliber Powermatic 48.111, 24 chân kính, trữ cót 48h. Sapphire chống lóa. Khối lượng 77g.",2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1578,CLAUDE BERNARD,10.450.000,85017.357RM.BRIR,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40.5mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,Lộ máy.,2 năm quốc tế,Nâu,Thụy Sỹ,5 năm lau dầu bảo dưỡng miễn phí
1579,ORIENT,15.274.500,SDK05004K0,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,41mm,Thép không gỉ 316L,12mm,Dây da,100m,Đồng hồ báo tình trạng năng lượng cót.,2 năm quốc tế,Nâu,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
1580,LONGINES,34.930.800,L5.512.4.71.A,Nữ,Mặt chữ nhật,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,23.3mm - 37mm,Thép không gỉ 316L,7.2mm,Dây da,50m,,2 năm quốc tế,Trắng,Thuỵ Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1581,CITIZEN,4.917.250,BM8550-81E,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Hiện đại,Mặt kính cứng,41.8mm,Thép không gỉ 316L,10.1mm,Thép không gỉ 316L,100m,"Lịch thứ, lịch ngày.",1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
1582,DANIEL WELLINGTON,3.483.900,DW00100250,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,28mm,Thép không gỉ 316L,6mm,Dây da,30m,"Thương hiệu Thụy Điển, máy Nhật Bản",2 năm quốc tế,Trắng,Thụy Điển,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1583,SKAGEN,2.975.000,SKW2567,Nữ,Mặt vuông,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,43mm x 22mm,Thép không gỉ 316L,,Thép không gỉ 316L dạng lưới,30m,,Trọn đời,Đen,Đan Mạch,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1584,CITIZEN,5.937.250,BJ6541-58P,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Hiện đại,Mặt kính cứng,38mm,Thép không gỉ mạ vàng công nghệ PVD,"8,8mm",Thép không gỉ 316L,100m,,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
1585,TISSOT,Liên hệ,T092.417.37.061.02,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao,Sapphire,45.25mm,Thép không gỉ 316L,12.3mm,Dây cao su,100m,Lịch ngày. Limited Edition Phiên bản giới hạn 2017 chiếc,2 năm quốc tế,Đỏ,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời
1586,CITIZEN,12.945.500,CB0018-19W,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Sapphire,44mm x 44mm,Thép không gỉ mạ vàng công nghệ PVD,10.3mm,Dây da,100m,Lịch thế kỷ.,1 năm quốc tế,Đen,Nhật Bản,
1587,ORIENT,9.537.000,RA-AA0815L19B,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Sapphire,41.8mm,Thép không gỉ mạ vàng công nghệ PVD,12.8mm,Thép không gỉ 316L,200m,"Lịch thứ, Lịch ngày. Cal.F6922, 21.600vph, 22 chân kính, trữ cót 40h. Phiên bản giới hạn 2800 chiếc.",1 năm quốc tế,Xanh lam,Nhật Bản,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
1588,CITIZEN,3.017.500,BF2003-25A,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Mặt kính cứng,41mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,50m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1589,CALVIN KLEIN,3.250.000,K2G21126,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,42mm,Thép không gỉ 316L,10mm,Thép không gỉ 316L,30 m,,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1590,CITIZEN,7.480.000,CA0775-87X,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Thể thao,Mặt kính cứng,43mm,Thép không gỉ mạ công nghệ PVD,12.5mm,Thép không gỉ mạ công nghệ PVD,100m,Lịch ngày. Chronograph. Tachymeter.,1 năm quốc tế,Xanh Lá,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
1591,CITIZEN,2.779.500,BI5040-58A,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,40mm,Thép không gỉ 316L,,Thép không gỉ 316L,50m,Lịch ngày.,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1592,ORIENT,4.428.500,FUNF3002W0,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,41mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,100m,Lịch ngày.,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1593,CHARRIOL,38.063.000,P42AS.P42.009,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,42mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,Lịch ngày.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1594,HAMILTON,23.188.000,H32675160,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,40mm,Thép không gỉ 316L,11.3mm,Thép không gỉ 316L,50m,"Open Heart. Caliber H-10, trữ cót 80h. Sapphire chống lóa.",2 năm quốc tế,Xám,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1595,ORIENT,4.012.000,SGW03005W0,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,39mm,Thép không gỉ 316L,6.85mm,Thép không gỉ 316L dạng lưới,50m,Lịch ngày.,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1596,CITIZEN,7.174.000,NP4010-55E,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,41mm x 41mm,Thép không gỉ 316L,11mm,Thép không gỉ 316L,100m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Trắng,Nhật Bản,
1597,LONGINES,29.106.000,L4.360.2.11.2,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,25mm,Thép không gỉ mạ vàng công nghệ PVD,7.6mm,Dây da,30m,"Lịch ngày. Caliber L592, 28.800vph, trữ cót 45h.",5 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1598,CITIZEN,6.961.500,CA0361-04A,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Mặt kính cứng,44mm,Thép không gỉ 316L,12mm,Dây da,100m,"Lịch ngày, Chronograph.",1 năm quốc tế,Trắng,Nhật Bản,
1599,DANIEL WELLINGTON,Liên hệ,DW00100638,Nữ,Mặt chữ nhật,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,28mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,30m,,2 năm quốc tế,Khảm trai,Thụy Điển,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1600,ORIENT,5.380.500,FGW01003W0,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,38mm,Thép không gỉ mạ vàng công nghệ PVD,7.25mm,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,Lịch ngày.,01 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1601,SEIKO,6.057.000,SRPE57K1S,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Hardlex Crystal,40mm,Thép không gỉ 316L,11.5mm,Thép không gỉ 316L,100m,"Lịch ngày, lịch thứ. Caliber 4R36, 24 chân kính, trữ cót 41h.",1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
1602,TISSOT,13.527.000,T106.417.36.051.00,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao,Sapphire,42.5mm,Thép không gỉ 316L,11.2mm,Dây da,100m,Lịch ngày. Movement Caliber ETA G10.212.,2 năm quốc tế,Đen,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời
1603,CITIZEN,7.318.500,AT0496-07E,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Sapphire,40mm,Thép không gỉ mạ vàng công nghệ PVD,10mm,Dây da,100m,"Lịch ngày, Chronograph.",1 năm quốc tế,Đen,Nhật Bản,
1604,TISSOT,Liên hệ,T101.917.11.031.00,Nữ,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao,Sapphire,38mm,Thép không gỉ 316L,10.5mm,Thép không gỉ 316L,100m,Lịch ngày. Chronograph,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời
1605,DANIEL WELLINGTON,5.409.000,DW00100109,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,40mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,30m,"Thương hiệu Thụy Điển, máy Nhật Bản",2 năm quốc tế,Trắng,Thụy Điển,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
1606,SEIKO,3.465.000,SSB111P2,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao,Mặt kính cứng,44mm,Thép không gỉ 316L,11.5mm,Dây da,100m,Lịch ngày.,1 năm quốc tế,Đen,Nhật Bản,Thay pin miễn phí trọn đời
1607,TISSOT,20.475.000,T097.007.11.113.00,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,29mm,Thép không gỉ 316L,8.7mm,Thép không gỉ 316L,50m,Lịch ngày.,2 năm quốc tế,Khảm trai,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1608,ORIENT,6.358.000,RA-AC0J05L10B,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Mặt kính cứng,42.4mm,Thép không gỉ 316L,11.2mm,Dây da,50m,"Lịch ngày. Caliber F6722, 22 chân kính, trữ cót 40h.",1 năm quốc tế,Xanh lam,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
1609,MIDO,29.817.000,M026.629.17.051.00,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Sapphire,44mm,Thép không gỉ 316L/ Ceramic,13.3mm,Dây dù,200m,"Lịch ngày. GMT. Mido Caliber 80 (base ETA C07.661), 25 chân kính, trữ cót 80h. Sapphire chống lóa. Ceramic bezel",2 năm quốc tế,Xanh lam,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1610,ORIENT,5.695.000,FAL00003W0,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,43mm,Thép không gỉ 316L,11mm,Thép không gỉ 316L,50m,"Lịch ngày, lịch thứ. Kính tráng Sapphire",1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
1611,CITIZEN,11.560.000,BL8148-11H,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Thể thao,Sapphire,42mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,100m,Lịch ngày. Perpetual Calendar. ECO-DRIVE hấp thụ năng lượng từ ánh,1 năm quốc tế,Đen,Nhật Bản,
1612,LONGINES,75.037.500,L2.321.5.11.7,Nữ,Mặt tròn,Automatic Chronometer (Máy cơ tự động chuẩn COSC),Sang trọng,Sapphire,30mm,Thép không gỉ 316L/ Vàng 18K,10.7mm,Thép không gỉ 316L/ Vàng 18K,30m,"Lịch ngày. Caliber L592.4, 28.800vph, trữ cót 45h. Sapphire chống lóa.",5 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1613,TISSOT,13.302.000,T008.217.11.121.00,Nam,Mặt vuông,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,,Thủy Tinh,,Vàng 18K,,,,Hồng,,
1614,FREDERIQUE CONSTANT,59.083.500,FC-703N3S6B,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,38.8mm,Thép không gỉ 316L,11.17mm,Thép không gỉ 316L,30m,"Lịch ngày. Moonphase. Caliber FC-703, 26 chân kính, 28.800vph, trữ cót 42h.",2 năm quốc tế,Xanh lam,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
1615,CALVIN KLEIN,6.336.000,K7N236K2,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,38mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,30m,,2 năm quốc tế,Trắng,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
